city_name,cluster
Bangalore,4.0
Bangalore,5.0
Bangalore,6.0
Bangalore,7.0
Chennai,9.0
Coimbatore,8.0
Hyderabad,10.0
Hyderabad,11.0
Hyderabad,12.0
Hyderabad,13.0
Indore,0.0
Indore,1.0
Indore,2.0
Indore,3.0
Jaipur,39.0
Jaipur,40.0
Jaipur,41.0
Jaipur,42.0
Jaipur,43.0
Mumbai,31.0
Mumbai,32.0
Mumbai,33.0
Mumbai,34.0
Mumbai,35.0
Mumbai,36.0
Mumbai,37.0
Mysore,20.0
Pune,23.0
Pune,24.0
Pune,25.0
Pune,26.0
Pune,27.0
Pune,28.0
Ranchi,14.0
Ranchi,15.0
Ranchi,16.0
Ranchi,17.0
Ranchi,18.0
Ranchi,19.0
Surat,44.0
Vadodra,52.0
